Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                   1",8.901186223124e-03,2.359534335605e-02,9.079243239928e-03,1.451610011612e-02,-2.718428438097e-03
"                   2",9.159620125685e-02,2.205809627705e-01,8.484965337509e-02,1.357313093954e-01,-2.544082801014e-02
"                   3",1.307338333232e-01,3.644929160387e-01,1.422904633089e-01,2.222024527298e-01,-3.995599471046e-02
"                   4",4.472316857265e-02,1.673156707409e-01,6.783229235625e-02,9.948337838468e-02,-1.582554301421e-02
"                   5",-3.009085417904e-02,-4.592661434768e-02,-1.357957856017e-02,-3.234703578751e-02,9.383728613674e-03
"                   6",-3.496743423506e-02,-8.927965396729e-02,-3.069556756665e-02,-5.858408640063e-02,1.394425941699e-02
"                   7",1.375176638156e-02,2.523062133067e-02,1.216045476036e-02,1.307016657031e-02,-4.548559049766e-04
"                   8",5.545896294138e-02,1.321398393986e-01,5.240799152908e-02,7.973184786951e-02,-1.366192817021e-02
"                   9",5.735829585363e-02,1.492026036148e-01,5.877036049872e-02,9.043224311605e-02,-1.583094130866e-02
"                  10",3.497794504934e-02,1.029995201585e-01,4.185006008641e-02,6.114946007211e-02,-9.649699992849e-03
"                  11",1.814777159492e-02,6.692415338997e-02,2.923183521364e-02,3.769231817634e-02,-4.230241481351e-03
"                  12",1.942395562370e-02,7.260090036365e-02,3.206035501907e-02,4.054054534458e-02,-4.240095162754e-03
"                  13",2.809036518235e-02,9.355564380929e-02,3.979974005668e-02,5.375590375261e-02,-6.978081847964e-03
"                  14",3.213553569033e-02,1.005909897629e-01,4.171432435578e-02,5.887666540715e-02,-8.581170525685e-03
"                  15",2.966084760764e-02,9.638028103542e-02,3.971229361269e-02,5.666798742273e-02,-8.477846905019e-03
"                  16",2.761310431199e-02,9.771568660718e-02,4.055221384610e-02,5.716347276108e-02,-8.305629457488e-03
"                  17",2.966831468859e-02,1.120572205282e-01,4.681130134665e-02,6.524591918155e-02,-9.217308917454e-03
"                  18",3.354774030871e-02,1.286769663224e-01,5.379701948891e-02,7.487994683344e-02,-1.054146367226e-02
"                  19",3.456872094586e-02,1.324280140010e-01,5.536230732306e-02,7.706570667797e-02,-1.085169967745e-02
"                  20",3.188373349486e-02,1.251097012762e-01,5.238918480690e-02,7.272051646934e-02,-1.016566583122e-02
"                  21",2.991938290990e-02,1.206836191358e-01,5.061817676375e-02,7.006544237209e-02,-9.723632804165e-03
"                  22",3.071641448536e-02,1.271443903200e-01,5.332618961068e-02,7.381820070930e-02,-1.024600554931e-02
"                  23",3.283628435915e-02,1.395823246215e-01,5.849076306920e-02,8.109156155233e-02,-1.130039924156e-02
"                  24",3.404398817717e-02,1.476358613879e-01,6.191322969077e-02,8.572263169711e-02,-1.190470100317e-02
"                  25",3.262176080379e-02,1.473323927396e-01,6.195587909585e-02,8.537651364378e-02,-1.171031727397e-02
"                  26",3.056927371373e-02,1.430017897694e-01,6.034890227374e-02,8.265288749565e-02,-1.115199261095e-02
"                  27",2.959550734081e-02,1.422043314338e-01,6.013497494032e-02,8.206935649351e-02,-1.096719077660e-02
"                  28",3.039240035564e-02,1.468578360478e-01,6.209215443632e-02,8.476568161147e-02,-1.133676358757e-02
"                  29",3.172338207577e-02,1.535498191891e-01,6.487353184015e-02,8.867628734900e-02,-1.190137775443e-02
"                  30",3.207907645494e-02,1.577326031058e-01,6.665334896155e-02,9.107925414421e-02,-1.221295259133e-02
"                  31",3.156273591084e-02,1.583072915044e-01,6.701215930664e-02,9.129513219778e-02,-1.214148644557e-02
